identifier,statement_code,description,academic_subject,grade_level,statement_type
da37ab9f-7f2f-4bd3-b00e-ed341cf057e9,DALE-MA.K.informar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar información para...
* aplicar conceptos concretos
* descubrir conceptos matemáticos
* visualizar datos
* reconocer patrones
* conceptualizar problemas matemáticos
* identificar las herramientas disponibles en la resolución de problemas matemáticos",English Language Arts,['K'],Standard
8cfe4961-bda5-4378-ba8e-434460ec440c,DALE-CS.6-8.explicar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar explicaciones para...
* introducir y contextualizar fenómenos o eventos
* establecer puntos de vista para comunicar resultados o consecuencias
* relacionar causas y consecuencias con situaciones o eventos
* destacar relaciones lógicas entre elementos o conceptos
* ilustrar ejemplos de eventos históricos que representan cambio y continuidad
* conectar las formas en que transacciones y negocios crean interdependencias entre comunidades",English Language Arts,"['6', '7', '8']",Standard
c3a89e67-181c-4c7a-8e5f-88da51d0da88,DALE-SA.1.argumentar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre argumentos para...
* acordar sobre sus propias dificultades y razones para pedir apoyo a alguien de confianza
* establecer qué acciones se necesitan para alcanzar objetivos
* compartir opiniones
* justificar opiniones con razones
* aclarar ideas en respuesta a la retroalimentación
* defender el cambio en el propio pensamiento",English Language Arts,['1'],Standard
5b0fedc4-8097-4ae6-ba74-5b5fe9cc44cc,DALE-SA.9-12.explicar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar explicaciones para...
* resumir ideas de discusiones en una variedad de contextos
* comunicar códigos culturales que impactan el aprendizaje
* compartir el pensamiento inicial sobre temas, problemas y/o situaciones
* describir ciclos y secuencias de pasos o procedimientos
* documentar variables, factores y circunstancias que cambian constantemente en sus vidas
* delimitar alternativas para ampliar o profundizar el conocimiento",English Language Arts,"['9', '10', '11', '12']",Standard
3930d076-110b-44a0-84ae-0594e641f2c7,CD.2-12.PF.N3,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crean mensajes precisos (orales, escritos y multimodales) a través de… Un repertorio de palabras y frases comunes a varias disciplinas y específicas al contexto.",English Language Arts,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Other
c76b7384-9759-40e8-bfca-60ecf8a22678,DALE-CS.9-12.argumentar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre argumentos para...
* priorizar evidencia de múltiples recursos históricos
* justificar posiciones con relación a contextos sociales pasados y contemporáneos
* analizar diferentes perspectivas
* determinar relaciones entre posturas y contra posturas y/o diferencias en razonamiento
* criticar la relevancia y confiabilidad de fuentes primarias y secundarias
* investigar preguntas que evocan el pensamiento crítico sobre problemas sociales complejos",English Language Arts,"['9', '10', '11', '12']",Standard
9edabeae-91be-45f8-a3ae-f2276e92abe8,DALE-AL.4-5.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* introducir y definir un tema y/o entidad
* establecer una postura objetiva o neutral
* añadir precisión y detalles para definir, describir, comparar y clasificar temas
* desarrollar la coherencia y la cohesión en todo el texto
* resumir ideas principales con detalles en mensajes multimodales
* usar recursos del lenguaje estratégicamente según el contexto y la audiencia",English Language Arts,"['4', '5']",Standard
e6ee8559-812b-494a-bbba-356e9eca726b,DALE-MA.1.informar.interpretativo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interpretar información para...
* identificar conceptos matemáticos pertinentes
* visualizar conceptos de forma, espacio y medida
* recolectar datos sobre atributos y características matemáticas
* distinguir patrones y estructuras matemáticas
* analizar métodos de resolución matemática",English Language Arts,['1'],Standard
3df62ba9-333e-4fe6-a9f4-ae1b794af7c0,CD.K-1.ORA.N1,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crean, conectan y extienden mensajes (orales, escritos y multimodales) a través de…Fragmentos de oraciones y oraciones simples con uso emergente de convenciones.",English Language Arts,"['K', '1']",Other
78d7c424-ddf9-44a3-ab80-c8d12f604365,DALE-MA.9-12.explicar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán Interactuar con otros (personas y medios) sobre explicaciones para...
* intercambiar ideas sobre conceptos o entidades matemáticas
* comparar soluciones con las de otros
* proponer datos, propiedades y/o teoremas apropiados para resolver problemas
* analizar relaciones entre cantidades matemáticas para llegar a conclusiones
* crear el razonamiento para generar soluciones
* negociar el uso de herramientas y/o tecnología para visualizar resultados o profundizar conceptos",English Language Arts,"['9', '10', '11', '12']",Standard
c627f121-b327-4d23-b0af-9bba91f0c4d0,,9º al 12º GRADO,English Language Arts,"['9', '10', '11', '12']",Standard Grouping
