standard_id,prerequisite_id,prerequisite_code
6ba1905b-d7cc-11e8-824f-0242ac160002,6ba115f2-d7cc-11e8-824f-0242ac160002,4.NF.B.4.a
6b9d8424-d7cc-11e8-824f-0242ac160002,6b9c465b-d7cc-11e8-824f-0242ac160002,8.G.A.1
6b9e7a98-d7cc-11e8-824f-0242ac160002,6b9db316-d7cc-11e8-824f-0242ac160002,HSN-CN.A.2
6b9f8f43-d7cc-11e8-824f-0242ac160002,6ba0b1df-d7cc-11e8-824f-0242ac160002,8.EE.C.8
6b9e34fb-d7cc-11e8-824f-0242ac160002,6b9c1708-d7cc-11e8-824f-0242ac160002,5.NBT.A.1
6b9e34fb-d7cc-11e8-824f-0242ac160002,6b9d4b33-d7cc-11e8-824f-0242ac160002,4.NBT.A.2
6b9e34fb-d7cc-11e8-824f-0242ac160002,6ba04da6-d7cc-11e8-824f-0242ac160002,4.NF.C.7
6b9bfea2-d7cc-11e8-824f-0242ac160002,6b9beecd-d7cc-11e8-824f-0242ac160002,3.G.A.1
6b9e8364-d7cc-11e8-824f-0242ac160002,6b9c8a61-d7cc-11e8-824f-0242ac160002,HSS-CP.A.1
6b9f97c6-d7cc-11e8-824f-0242ac160002,6b9c5ae5-d7cc-11e8-824f-0242ac160002,HSA-SSE.A.1
6b9f97c6-d7cc-11e8-824f-0242ac160002,6b9ef36a-d7cc-11e8-824f-0242ac160002,8.F.B.4
6b9ff914-d7cc-11e8-824f-0242ac160002,6b9c2393-d7cc-11e8-824f-0242ac160002,6.G.A.1
6b9ff914-d7cc-11e8-824f-0242ac160002,6b9d6553-d7cc-11e8-824f-0242ac160002,6.G.A.2
6b9ff914-d7cc-11e8-824f-0242ac160002,6b9edfbc-d7cc-11e8-824f-0242ac160002,6.G.A.4
6ba237aa-d7cc-11e8-824f-0242ac160002,6b9d6fe1-d7cc-11e8-824f-0242ac160002,7.EE.A.2
6ba237aa-d7cc-11e8-824f-0242ac160002,6b9db867-d7cc-11e8-824f-0242ac160002,HSN-RN.A.2
6ba237aa-d7cc-11e8-824f-0242ac160002,6b9e4d0c-d7cc-11e8-824f-0242ac160002,7.RP.A.3
6b9ecb67-d7cc-11e8-824f-0242ac160002,6b9c0660-d7cc-11e8-824f-0242ac160002,4.NBT.A.1
6b9ecb67-d7cc-11e8-824f-0242ac160002,6b9d3a38-d7cc-11e8-824f-0242ac160002,3.NBT.A.2
6b9da1fd-d7cc-11e8-824f-0242ac160002,6ba0f1e1-d7cc-11e8-824f-0242ac160002,HSG-CO.C.9
6b9d484a-d7cc-11e8-824f-0242ac160002,6b9c02b9-d7cc-11e8-824f-0242ac160002,4.MD.A.1
6b9d484a-d7cc-11e8-824f-0242ac160002,6b9f6583-d7cc-11e8-824f-0242ac160002,4.NF.C.5
6b9d484a-d7cc-11e8-824f-0242ac160002,6b9fea01-d7cc-11e8-824f-0242ac160002,4.NF.C.6
6b9d484a-d7cc-11e8-824f-0242ac160002,6ba1136b-d7cc-11e8-824f-0242ac160002,4.NF.B.3.a
6b9d484a-d7cc-11e8-824f-0242ac160002,6ba18d83-d7cc-11e8-824f-0242ac160002,4.NF.B.3.b
6b9d484a-d7cc-11e8-824f-0242ac160002,6ba208b6-d7cc-11e8-824f-0242ac160002,4.NF.B.3.c
6b9d484a-d7cc-11e8-824f-0242ac160002,6ba20bca-d7cc-11e8-824f-0242ac160002,4.NF.B.4.c
6b9f0c6f-d7cc-11e8-824f-0242ac160002,6b9d9f54-d7cc-11e8-824f-0242ac160002,HSF-TF.A.2
6b9f0c6f-d7cc-11e8-824f-0242ac160002,6ba27db0-d7cc-11e8-824f-0242ac160002,HSF-IF.C.7.e
6ba017c6-d7cc-11e8-824f-0242ac160002,6b9d7951-d7cc-11e8-824f-0242ac160002,7.RP.A.2
6ba017c6-d7cc-11e8-824f-0242ac160002,6b9e7866-d7cc-11e8-824f-0242ac160002,HSG-SRT.A.3
6b9c54a3-d7cc-11e8-824f-0242ac160002,6b9c5ae5-d7cc-11e8-824f-0242ac160002,HSA-SSE.A.1
6b9c54a3-d7cc-11e8-824f-0242ac160002,6b9d7eb3-d7cc-11e8-824f-0242ac160002,8.EE.A.2
6b9c54a3-d7cc-11e8-824f-0242ac160002,6b9e5ed4-d7cc-11e8-824f-0242ac160002,HSA-REI.B.3
6b9c54a3-d7cc-11e8-824f-0242ac160002,6b9ee71f-d7cc-11e8-824f-0242ac160002,7.EE.B.4
6b9c54a3-d7cc-11e8-824f-0242ac160002,6b9f09b7-d7cc-11e8-824f-0242ac160002,HSF-LE.A.4
6b9c54a3-d7cc-11e8-824f-0242ac160002,6ba1d10e-d7cc-11e8-824f-0242ac160002,HSA-REI.B.4.b
6b9c1708-d7cc-11e8-824f-0242ac160002,6b9c0660-d7cc-11e8-824f-0242ac160002,4.NBT.A.1
6b9c1708-d7cc-11e8-824f-0242ac160002,6b9f6583-d7cc-11e8-824f-0242ac160002,4.NF.C.5
6b9c1708-d7cc-11e8-824f-0242ac160002,6b9fea01-d7cc-11e8-824f-0242ac160002,4.NF.C.6
6b9c1708-d7cc-11e8-824f-0242ac160002,6ba04da6-d7cc-11e8-824f-0242ac160002,4.NF.C.7
6b9f8362-d7cc-11e8-824f-0242ac160002,6b9d7951-d7cc-11e8-824f-0242ac160002,7.RP.A.2
6b9c859b-d7cc-11e8-824f-0242ac160002,6b9c4078-d7cc-11e8-824f-0242ac160002,8.EE.A.1
6b9c859b-d7cc-11e8-824f-0242ac160002,6b9d7eb3-d7cc-11e8-824f-0242ac160002,8.EE.A.2
6b9c342f-d7cc-11e8-824f-0242ac160002,6b9c2393-d7cc-11e8-824f-0242ac160002,6.G.A.1
6b9c342f-d7cc-11e8-824f-0242ac160002,6b9d7951-d7cc-11e8-824f-0242ac160002,7.RP.A.2
6b9f0737-d7cc-11e8-824f-0242ac160002,6b9c6130-d7cc-11e8-824f-0242ac160002,HSF-IF.A.1
6b9f0737-d7cc-11e8-824f-0242ac160002,6b9f86d5-d7cc-11e8-824f-0242ac160002,8.F.B.5
6ba03dbb-d7cc-11e8-824f-0242ac160002,6b9e0b6c-d7cc-11e8-824f-0242ac160002,1.MD.B.3
6ba02461-d7cc-11e8-824f-0242ac160002,6b9e8595-d7cc-11e8-824f-0242ac160002,HSS-IC.B.3
6ba02461-d7cc-11e8-824f-0242ac160002,6b9f235a-d7cc-11e8-824f-0242ac160002,HSS-IC.B.4
6ba02461-d7cc-11e8-824f-0242ac160002,6b9f7a96-d7cc-11e8-824f-0242ac160002,6.SP.B.5
6ba02461-d7cc-11e8-824f-0242ac160002,6b9fb424-d7cc-11e8-824f-0242ac160002,HSS-IC.B.5
6ba2703e-d7cc-11e8-824f-0242ac160002,6b9e3712-d7cc-11e8-824f-0242ac160002,5.NF.B.3
6b9ff310-d7cc-11e8-824f-0242ac160002,6b9d6298-d7cc-11e8-824f-0242ac160002,6.EE.A.2
6b9dd100-d7cc-11e8-824f-0242ac160002,6b9ca104-d7cc-11e8-824f-0242ac160002,K.OA.A.1
6b9d59e4-d7cc-11e8-824f-0242ac160002,6b9c1708-d7cc-11e8-824f-0242ac160002,5.NBT.A.1
6b9ef36a-d7cc-11e8-824f-0242ac160002,6b9d7951-d7cc-11e8-824f-0242ac160002,7.RP.A.2
6b9ef36a-d7cc-11e8-824f-0242ac160002,6b9e5396-d7cc-11e8-824f-0242ac160002,8.F.A.3
6b9d91e7-d7cc-11e8-824f-0242ac160002,6b9c57c7-d7cc-11e8-824f-0242ac160002,HSA-REI.A.1
6b9d91e7-d7cc-11e8-824f-0242ac160002,6b9db867-d7cc-11e8-824f-0242ac160002,HSN-RN.A.2
